"participant","load","PROLIFIC_PID","negLL","alpha","forget","rho","noise","neg_alpha","K","pre_mean","post_mean","PES","postCorr_mean","PES_adj","accuracy","N","P","D","N_skip","P_skip","D_skip","MSS","MSS_skip","ref","pers","paranoia","ref_skip","pers_skip","checks","z_P","z_N","z_D","z_pers","z_ref","sz","psych","postErr_unadj","postCorr_unadj","PES_trad","rt_pre4","rt_post4","peri_rt","PES_rig","persever"
"494675","2","664993e12a5b629050529e17",154.061884246804,0.999,0.361940815004445,0.543225581920664,0.0346719892410658,0.113602523845186,4.50725696005653,0.787111111111111,1.44058333333333,0.653472222222222,0.614554054054054,0.826029279279279,0.888888888888889,7,0,7,0,0,0,14,0,8,11,19,0,0,3,-1.19078958004914,1.24520161253415,0.832778272107586,0.0519802667543213,-0.404724854962374,0.106889143276907,-0.177688974037403,1.29255,0.625509554140127,0.667040445859873,0.6166,0.666363636363636,0.641481818181818,0.799101515151515,0.886397476154814
"494675","4","664993e12a5b629050529e17",154.061884246804,0.999,0.361940815004445,0.543225581920664,0.0346719892410658,0.113602523845186,4.50725696005653,1.0119,1.11418181818182,0.102281818181818,0.777746753246753,0.336435064935065,0.916666666666667,7,0,7,0,0,0,14,0,8,11,19,0,0,3,-1.19078958004914,1.24520161253415,0.832778272107586,0.0519802667543213,-0.404724854962374,0.106889143276907,-0.177688974037403,1.1996,0.8142874617737,0.3853125382263,0.753333333333333,1.101125,0.927229166666667,0.186952651515152,0.886397476154814
"505304","2","66fbe802143594be78b5b418",220.398014090096,0.0480606647553229,0.149650451240463,0.999,0.0860092434502239,0.115999183744431,2.00000000001352,0.382775,0.664618181818182,0.281843181818182,0.496956687898089,0.167661493920093,0.938888888888889,2,2,2,0,0,0,6,0,9,0,9,0,0,3,-0.575691503865511,-0.634006404055625,-0.438093461509684,-1.04440646809945,-0.278143811739379,-0.59406832985393,-0.584083811303506,0.63688,0.496936496350365,0.139943503649635,0.489685714285714,0.4912,0.490442857142857,0.174175324675325,0.884000816255569
"505304","4","66fbe802143594be78b5b418",220.398014090096,0.0480606647553229,0.149650451240463,0.999,0.0860092434502239,0.115999183744431,2.00000000001352,0.635286842105263,0.72249512195122,0.0872082798459564,0.6386421875,0.0838529344512196,0.830555555555556,2,2,2,0,0,0,6,0,9,0,9,0,0,3,-0.575691503865511,-0.634006404055625,-0.438093461509684,-1.04440646809945,-0.278143811739379,-0.59406832985393,-0.584083811303506,0.678595081967213,0.647874744027304,0.0307203379399094,0.61735,0.672235,0.6447925,0.0777026219512196,0.884000816255569
"507028","2","66de20cd48ec5f6eed0efb42",230.044698312079,0.00770234825064936,0.0799734689080694,0.999,0.0761430120592056,0.0509423218284798,3.54028837477161,0.738130769230769,0.730152941176471,-0.0079778280542987,0.465598449612403,0.264554491564067,0.816666666666667,3,1,0,0,0,0,4,0,2,1,3,0,0,3,-0.883240541957328,-0.25816480073767,-0.946442154956593,-0.944734946749107,-1.16421111430034,-0.839358711740208,-0.984657189490842,0.849747826086957,0.491970967741935,0.357776858345021,0.391125,0.479991666666667,0.435558333333333,0.294594607843137,0.94905767817152
"507028","4","66de20cd48ec5f6eed0efb42",230.044698312079,0.00770234825064936,0.0799734689080694,0.999,0.0761430120592056,0.0509423218284798,3.54028837477161,0.816853333333333,0.962237142857143,0.14538380952381,0.711258759124088,0.250978383733055,0.858333333333333,3,1,0,0,0,0,4,0,2,1,3,0,0,3,-0.883240541957328,-0.25816480073767,-0.946442154956593,-0.944734946749107,-1.16421111430034,-0.839358711740208,-0.984657189490842,1.04819803921569,0.734803289473684,0.313394749742002,0.684158333333333,0.734338888888889,0.709248611111111,0.252988531746032,0.94905767817152
"508902","2","66f87e6e2dc45bbe77324f9a",220.004818339926,0.0111732151210148,0.218633322041469,0.824501670443145,0.0252084726996317,0.0724423738387082,2.39291476152994,0.601909090909091,0.719142857142857,0.117233766233766,0.518787671232877,0.20035518590998,0.888888888888889,5,4,9,0,0,0,18,0,12,5,17,0,0,3,0.039406572318123,0.493518405898239,1.34112696555449,-0.546048861347735,0.101599317929604,0.285920480070545,0.234020998613622,0.72405,0.519821656050955,0.204228343949045,0.612714285714286,0.588272727272727,0.600493506493506,0.118649350649351,0.927557626161292
"508902","4","66f87e6e2dc45bbe77324f9a",220.004818339926,0.0111732151210148,0.218633322041469,0.824501670443145,0.0252084726996317,0.0724423738387082,2.39291476152994,0.728914285714286,0.732783783783784,0.0038694980694981,0.6208359375,0.111947846283784,0.816666666666667,5,4,9,0,0,0,18,0,12,5,17,0,0,3,0.039406572318123,0.493518405898239,1.34112696555449,-0.546048861347735,0.101599317929604,0.285920480070545,0.234020998613622,0.726454545454545,0.646575862068966,0.0798786833855799,0.841615384615385,0.65978947368421,0.750702429149798,-0.0179186453660137,0.927557626161292
"512270","2","64010a38650fe3a1a2de05a9",426.708425938158,0.00265798185194356,0.589541170566034,0.940977009813181,0.001000000000001,0.174708448863583,1.85583755943677,0.602461538461538,0.600935294117647,-0.00152624434389148,0.573346715328467,0.0275885787891799,0.855555555555556,3,3,2,0,0,0,8,0,26,17,43,0,0,3,-0.268142465773694,-0.25816480073767,-0.438093461509684,0.650009394856378,1.87373392305153,0.311868517977371,0.454376847656131,0.624847058823529,0.589699,0.0351480588235294,0.64208,0.60244,0.62226,-0.021324705882353,0.825291551136417
"512270","4","64010a38650fe3a1a2de05a9",426.708425938158,0.00265798185194356,0.589541170566034,0.940977009813181,0.001000000000001,0.174708448863583,1.85583755943677,0.742196470588235,0.761258139534884,0.0190616689466484,0.807346739130435,-0.046088599595551,0.5,3,3,2,0,0,0,8,0,26,17,43,0,0,3,-0.268142465773694,-0.25816480073767,-0.438093461509684,0.650009394856378,1.87373392305153,0.311868517977371,0.454376847656131,0.73591,0.804603389830508,-0.0686933898305085,0.856366666666667,0.829976923076923,0.843171794871795,-0.0819136553369112,0.825291551136417
