"participant","load","PROLIFIC_PID","condition","flexi","pre_mean","post_mean","PES","postCorr_mean","PES_adj","accuracy","N","P","D","N_skip","P_skip","D_skip","MSS","MSS_skip","ref","pers","paranoia","ref_skip","pers_skip","checks","negLL","alpha","forget","rho","noise","neg_alpha","K","z_P","z_N","z_D","z_pers","z_ref","sz","psych","postErr_unadj","postCorr_unadj","PES_trad","rt_pre4","rt_post4","peri_rt","PES_rig","persever"
"040276","4","66e9110068b757c1c1ccfb45","negative",1.70362086748733,0.7917975,0.834790476190476,0.0429929761904763,0.677355128205128,0.157435347985348,0.769444444444444,3,6,6,0,0,0,15,0,8,1,9,0,0,3,246.381363051078,0.00507484523797596,0.34109736880704,0.946765098981535,0.0581339472705321,0.0655381499259196,3.63192807716785,0.654978755516844,-0.258351808948167,0.57902305178852,-0.945419289429754,-0.405018027659248,-0.074957463746361,-0.0291088774459093,0.808455421686747,0.707963138686131,0.100492283000616,0.666914285714286,0.815222222222222,0.741068253968254,0.0937222222222223,0.93446185007408
"040276","4","66e9110068b757c1c1ccfb45","positive",1.50439544298446,0.7917975,0.834790476190476,0.0429929761904763,0.677355128205128,0.157435347985348,0.769444444444444,3,6,6,0,0,0,15,0,8,1,9,0,0,3,246.381363051078,0.00507484523797596,0.34109736880704,0.946765098981535,0.0581339472705321,0.0655381499259196,3.63192807716785,0.654978755516844,-0.258351808948167,0.57902305178852,-0.945419289429754,-0.405018027659248,-0.074957463746361,-0.0291088774459093,0.808455421686747,0.707963138686131,0.100492283000616,0.666914285714286,0.815222222222222,0.741068253968254,0.0937222222222223,0.93446185007408
"046281","2","6696ce2085087c25d102f853","negative",1.7042763261417,0.4442,0.495954545454545,0.0517545454545455,0.427456862745098,0.0684976827094474,0.916666666666667,2,3,0,0,0,0,5,0,2,0,2,0,0,3,222.259461751909,0.00998238755111057,0.325900819633222,0.909510283155211,0.0381226259176422,0.128387733298351,2.34527650038752,-0.268336701558508,-0.634465662648305,-0.947127734296735,-1.04516301037041,-1.16505444010039,-0.812029509794868,-0.856420471581509,0.497066666666667,0.428354320987654,0.0687123456790124,0.50164,0.37393,0.437785,0.0581695454545455,0.871612266701649
"046281","2","6696ce2085087c25d102f853","positive",1.72316697031875,0.4442,0.495954545454545,0.0517545454545455,0.427456862745098,0.0684976827094474,0.916666666666667,2,3,0,0,0,0,5,0,2,0,2,0,0,3,222.259461751909,0.00998238755111057,0.325900819633222,0.909510283155211,0.0381226259176422,0.128387733298351,2.34527650038752,-0.268336701558508,-0.634465662648305,-0.947127734296735,-1.04516301037041,-1.16505444010039,-0.812029509794868,-0.856420471581509,0.497066666666667,0.428354320987654,0.0687123456790124,0.50164,0.37393,0.437785,0.0581695454545455,0.871612266701649
"046281","4","6696ce2085087c25d102f853","negative",1.7042763261417,0.684405128205128,0.717617073170732,0.0332119449656035,0.589525506072874,0.128091567097857,0.802777777777778,2,3,0,0,0,0,5,0,2,0,2,0,0,3,222.259461751909,0.00998238755111057,0.325900819633222,0.909510283155211,0.0381226259176422,0.128387733298351,2.34527650038752,-0.268336701558508,-0.634465662648305,-0.947127734296735,-1.04516301037041,-1.16505444010039,-0.812029509794868,-0.856420471581509,0.718083098591549,0.605821328671329,0.112261769920221,0.5666,0.530186666666667,0.548393333333333,0.169223739837398,0.871612266701649
"046281","4","6696ce2085087c25d102f853","positive",1.72316697031875,0.684405128205128,0.717617073170732,0.0332119449656035,0.589525506072874,0.128091567097857,0.802777777777778,2,3,0,0,0,0,5,0,2,0,2,0,0,3,222.259461751909,0.00998238755111057,0.325900819633222,0.909510283155211,0.0381226259176422,0.128387733298351,2.34527650038752,-0.268336701558508,-0.634465662648305,-0.947127734296735,-1.04516301037041,-1.16505444010039,-0.812029509794868,-0.856420471581509,0.718083098591549,0.605821328671329,0.112261769920221,0.5666,0.530186666666667,0.548393333333333,0.169223739837398,0.871612266701649
"056207","2","66f0aa8ae120b6df7b9b6f59","negative",0.443256536655908,0.586454054054054,0.530723684210526,-0.0557303698435277,0.77445,-0.243726315789474,0.327777777777778,2,5,0,0,0,0,7,0,12,15,27,0,0,3,585.613353186952,0.00218037465310268,0.995227530575635,0.634778707771847,0.001,0.001,1.41667477163169,0.347206936491727,-0.634465662648305,-0.947127734296735,0.45099280373936,0.101672913968179,-0.136344148549155,-0.0118137700243673,0.711342424242424,1.002144,-0.290801575757576,1.0742,1.1851,1.12965,-0.598926315789474,0.999
"056207","2","66f0aa8ae120b6df7b9b6f59","positive",1.20692892385148,0.586454054054054,0.530723684210526,-0.0557303698435277,0.77445,-0.243726315789474,0.327777777777778,2,5,0,0,0,0,7,0,12,15,27,0,0,3,585.613353186952,0.00218037465310268,0.995227530575635,0.634778707771847,0.001,0.001,1.41667477163169,0.347206936491727,-0.634465662648305,-0.947127734296735,0.45099280373936,0.101672913968179,-0.136344148549155,-0.0118137700243673,0.711342424242424,1.002144,-0.290801575757576,1.0742,1.1851,1.12965,-0.598926315789474,0.999
"056207","4","66f0aa8ae120b6df7b9b6f59","negative",0.443256536655908,0.678384615384615,0.596253164556962,-0.0821314508276534,0.953642592592593,-0.357389428035631,0.372222222222222,2,5,0,0,0,0,7,0,12,15,27,0,0,3,585.613353186952,0.00218037465310268,0.995227530575635,0.634778707771847,0.001,0.001,1.41667477163169,0.347206936491727,-0.634465662648305,-0.947127734296735,0.45099280373936,0.101672913968179,-0.136344148549155,-0.0118137700243673,0.503815254237288,0.825010169491525,-0.321194915254237,1.04535,0.866033333333333,0.955691666666667,-0.359438502109705,0.999
"056207","4","66f0aa8ae120b6df7b9b6f59","positive",1.20692892385148,0.678384615384615,0.596253164556962,-0.0821314508276534,0.953642592592593,-0.357389428035631,0.372222222222222,2,5,0,0,0,0,7,0,12,15,27,0,0,3,585.613353186952,0.00218037465310268,0.995227530575635,0.634778707771847,0.001,0.001,1.41667477163169,0.347206936491727,-0.634465662648305,-0.947127734296735,0.45099280373936,0.101672913968179,-0.136344148549155,-0.0118137700243673,0.503815254237288,0.825010169491525,-0.321194915254237,1.04535,0.866033333333333,0.955691666666667,-0.359438502109705,0.999
